Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,86.870003,87.570000,85.190002,86.199997,83.753235,113900
2019-08-06,86.510002,87.599998,85.989998,87.500000,85.016335,90000
2019-08-07,87.010002,89.849998,85.169998,89.589996,87.047012,170500
2019-08-08,89.989998,92.360001,89.809998,91.800003,89.194283,96100
2019-08-09,91.900002,92.910004,88.000000,91.370003,88.776489,166700
2019-08-12,90.470001,91.019997,89.779999,90.500000,87.931183,185700
2019-08-13,90.199997,92.169998,90.199997,91.559998,88.961090,214500
2019-08-14,90.949997,90.949997,88.779999,89.120003,86.590355,99400
2019-08-15,89.440002,90.050003,87.750000,88.400002,85.890793,123100
2019-08-16,89.080002,90.919998,88.489998,89.930000,87.377365,107600
2019-08-19,90.889999,91.160004,89.080002,89.889999,87.338493,146300
2019-08-20,89.930000,90.750000,89.040001,89.940002,87.387085,144700
2019-08-21,90.760002,90.760002,89.010002,90.470001,87.902039,83800
2019-08-22,90.889999,91.169998,89.489998,89.989998,87.435661,124800
2019-08-23,89.900002,89.930000,88.290001,88.559998,86.046249,198000
2019-08-26,89.339996,89.540001,87.540001,87.900002,85.404984,128800
2019-08-27,88.230003,88.230003,84.879997,86.040001,83.597778,135000
2019-08-28,86.040001,87.330002,85.199997,87.019997,84.549957,163600
2019-08-29,87.900002,89.379997,87.279999,89.190002,86.658363,174700
2019-08-30,89.629997,90.660004,88.529999,88.650002,86.133698,141100
2019-09-03,88.330002,89.459999,86.519997,89.430000,86.891556,216600
2019-09-04,90.019997,90.339996,87.660004,88.410004,85.900513,159300
2019-09-05,89.139999,94.889999,89.139999,92.010002,89.398323,305800
2019-09-06,91.959999,99.709999,91.959999,98.510002,95.713821,296100
2019-09-09,98.949997,99.290001,90.820000,94.980003,92.284027,425200
2019-09-10,94.940002,94.940002,91.480003,93.379997,90.729431,368900
2019-09-11,94.930000,94.930000,92.160004,93.570000,90.914040,519900
2019-09-12,94.419998,94.989998,91.830002,93.300003,90.651711,261000
2019-09-13,93.459999,94.980003,92.449997,93.580002,90.923759,219100
2019-09-16,93.449997,94.620003,92.849998,93.790001,91.127800,230000
2019-09-17,93.769997,94.209999,92.910004,93.290001,90.641991,196800
2019-09-18,93.410004,94.879997,93.410004,94.480003,91.798218,306900
2019-09-19,94.809998,94.830002,92.430000,93.129997,90.486526,138200
2019-09-20,93.500000,95.000000,93.500000,94.379997,91.701042,398700
2019-09-23,94.349998,95.500000,93.959999,94.959999,92.264587,131500
2019-09-24,95.300003,96.889999,94.660004,94.709999,92.021683,113900
2019-09-25,94.820000,96.330002,94.820000,95.400002,92.692101,113700
2019-09-26,95.430000,95.949997,94.800003,95.290001,92.585220,117200
2019-09-27,95.860001,95.860001,94.430000,95.160004,92.458916,96900
2019-09-30,95.440002,95.989998,94.550003,95.180000,92.478340,107000
2019-10-01,96.080002,96.720001,92.830002,93.070000,90.428238,150000
2019-10-02,92.660004,94.959999,91.040001,92.489998,89.864693,170800
2019-10-03,92.489998,93.260002,89.760002,89.900002,87.348213,205900
2019-10-04,90.250000,91.339996,89.330002,91.000000,88.416992,107000
2019-10-07,90.489998,91.250000,90.199997,90.809998,88.232384,100400
2019-10-08,90.580002,91.150002,88.980003,90.269997,87.707703,79200
2019-10-09,90.910004,91.959999,89.930000,91.300003,88.708473,174600
2019-10-10,91.250000,92.360001,90.639999,91.680000,89.077690,126600
2019-10-11,92.620003,94.209999,91.709999,93.839996,91.176376,86500
2019-10-14,93.660004,95.339996,93.360001,94.239998,91.565018,119900
2019-10-15,94.510002,95.099998,94.360001,94.919998,92.225716,96000
2019-10-16,94.720001,95.690002,93.610001,94.529999,91.846794,117300
2019-10-17,94.910004,94.980003,94.000000,94.070000,91.399849,140100
2019-10-18,93.790001,93.790001,90.800003,91.160004,88.572456,123500
2019-10-21,91.660004,92.250000,91.190002,91.360001,88.766777,105900
2019-10-22,91.459999,92.000000,90.459999,91.400002,88.805641,98500
2019-10-23,91.000000,91.349998,90.720001,91.150002,88.562737,49900
2019-10-24,91.260002,91.459999,90.139999,90.699997,88.125504,67400
2019-10-25,90.230003,91.150002,89.910004,91.089996,88.504433,91900
2019-10-28,91.029999,91.730003,88.860001,89.320000,86.784676,120700
2019-10-29,89.449997,90.910004,88.720001,89.389999,86.852684,135100
2019-10-30,89.529999,89.550003,86.629997,88.290001,85.783913,188800
2019-10-31,88.309998,88.879997,85.660004,86.730003,84.268196,131400
2019-11-01,87.160004,87.339996,85.730003,86.849998,84.384789,127900
2019-11-04,87.389999,87.540001,86.239998,86.769997,84.307053,115700
2019-11-05,87.190002,88.099998,86.019997,86.089996,83.646355,146300
2019-11-06,86.239998,86.570000,85.669998,85.790001,83.354881,78400
2019-11-07,86.199997,86.500000,84.300003,84.870003,82.460991,108500
2019-11-08,85.089996,86.839996,84.540001,86.279999,83.830963,116000
2019-11-11,85.839996,85.940002,84.529999,85.769997,83.335442,91200
2019-11-12,85.680000,86.330002,85.120003,86.000000,83.558914,112900
2019-11-13,86.080002,86.080002,85.000000,85.099998,82.684464,134300
2019-11-14,84.330002,85.599998,83.370003,84.070000,82.753365,182600
2019-11-15,84.459999,85.070000,83.489998,84.839996,83.511299,146600
2019-11-18,84.510002,85.510002,84.080002,84.389999,83.068352,118300
2019-11-19,84.639999,87.379997,84.470001,86.620003,85.263428,199400
2019-11-20,86.500000,88.309998,86.250000,88.029999,86.651344,165600
2019-11-21,88.220001,88.230003,86.620003,87.419998,86.050896,86000
2019-11-22,87.699997,87.699997,86.019997,86.660004,85.302803,97500
2019-11-25,86.989998,88.730003,86.629997,88.529999,87.143517,132000
2019-11-26,88.129997,90.160004,87.760002,89.779999,88.373940,86100
2019-11-27,89.870003,91.300003,89.370003,89.570000,88.167229,86900
2019-11-29,89.459999,89.489998,88.800003,89.190002,87.793182,53800
2019-12-02,89.169998,89.489998,88.279999,88.800003,87.409286,99500
2019-12-03,88.160004,89.320000,87.910004,88.720001,87.330544,182500
2019-12-04,89.000000,89.379997,88.589996,88.949997,87.556938,166100
2019-12-05,89.129997,89.129997,87.650002,88.169998,86.789154,122700
2019-12-06,88.580002,90.360001,88.000000,88.910004,87.517570,254800
2019-12-09,88.989998,89.730003,88.339996,89.440002,88.039268,144800
2019-12-10,89.239998,89.419998,87.980003,88.220001,86.838371,119500
2019-12-11,88.720001,88.720001,86.680000,86.830002,85.470139,157800
2019-12-12,86.970001,88.709999,85.860001,87.330002,85.962311,138200
2019-12-13,87.400002,87.400002,86.540001,86.919998,85.558731,132400
2019-12-16,87.639999,88.830002,86.720001,87.180000,85.814659,302300
2019-12-17,86.669998,88.230003,86.419998,87.709999,86.336357,186400
2019-12-18,87.980003,87.980003,86.739998,87.629997,86.257607,220300
2019-12-19,87.519997,93.870003,87.099998,91.459999,90.027626,401700
2019-12-20,92.339996,92.500000,90.839996,91.940002,90.500114,414700
2019-12-23,92.029999,93.910004,91.160004,92.519997,91.071022,143200
2019-12-24,92.820000,94.919998,92.669998,93.889999,92.419571,85800
2019-12-26,94.290001,94.730003,93.400002,94.370003,92.892059,82800
2019-12-27,94.519997,94.519997,91.790001,92.099998,90.657600,130200
2019-12-30,92.010002,92.220001,90.889999,91.589996,90.155586,129100
2019-12-31,91.379997,91.900002,90.250000,90.589996,89.171249,175800
2020-01-02,90.730003,90.730003,86.070000,87.209999,85.844185,202500
2020-01-03,86.790001,88.540001,86.180000,87.980003,86.602135,276800
2020-01-06,87.540001,87.769997,85.610001,85.760002,84.416901,221300
2020-01-07,85.629997,85.629997,84.389999,85.330002,83.993637,125500
